Rank(2025),Airports (large),IATACode,State,Lat.,Long.
1,Hartsfield–Jackson Atlanta International Airport,ATL,GA,33.6367,-84.4279
2,Dallas/Fort Worth International Airport,DFW,TX,32.89748,-97.040443
3,O'Hare International Airport,ORD,IL,41.978611,-87.904724
4,Denver International Airport,DEN,CO,39.8617,-104.6732
5,Los Angeles International Airport,LAX,CA,33.9425,-118.408
6,John F. Kennedy International Airport,JFK,NY,40.641766,-73.780968
7,Orlando International Airport,MCO,FL,28.4294,-81.309
8,Harry Reid International Airport,LAS,NV,36.0803,-115.1524
9,Miami International Airport,MIA,FL,25.7954,-80.2901
10,San Francisco International Airport,SFO,CA,37.6188,-122.3754
11,Charlotte Douglas International Airport,CLT,NC,35.2132,-80.9514
12,Seattle–Tacoma International Airport,SEA,WA,47.443546,-122.301659
13,Phoenix Sky Harbor International Airport,PHX,AZ,33.4343,-112.0116
14,Newark Liberty International Airport,EWR,NJ,40.6925,-74.1687
15,George Bush Intercontinental Airport,IAH,TX,29.993067,-95.341812
16,Logan International Airport,BOS,MA,42.3629,-71.0064
17,Minneapolis–Saint Paul International Airport,MSP,MN,44.88197,-93.22178
18,Detroit Metropolitan Airport,DTW,MI,42.2124,-83.3534
19,LaGuardia Airport,LGA,NY,40.7772,-73.8726
20,Fort Lauderdale–Hollywood International Airport,FLL,FL,26.0742,-80.1507
21,Philadelphia International Airport,PHL,PA,39.872,-75.241
22,Dulles International Airport,IAD,VA,38.9475,-77.4599
23,Salt Lake City International Airport,SLC,UT,40.788,-111.978
24,San Diego International Airport,SAN,CA,32.73356,-117.18966
25,Nashville International Airport,BNA,TN,36.1245,-86.6782
26,Baltimore/Washington International Airport,BWI,MD,39.1757,-76.669
27,Tampa International Airport,TPA,FL,27.9755,-82.5332
28,Ronald Reagan Washington National Airport,DCA,VA,38.8514,-77.0377
29,Austin–Bergstrom International Airport,AUS,TX,30.194527,-97.669876
30,Daniel K. Inouye International Airport,HNL,HI,21.3178,-157.9203
31,Midway International Airport,MDW,IL,41.78564,-87.75273
32,Portland International Airport,PDX,OR,45.5887,-122.5969
33,Dallas Love Field,DAL,TX,32.8459,-96.8509
34,Raleigh–Durham International Airport,RDU,NC,35.8776,-78.7875
35,St. Louis Lambert International Airport,STL,MO,38.7487,-90.2590275
36,Sacramento International Airport,SMF,CA,38.6954,-121.5908
37,William P. Hobby Airport,HOU,TX,29.6458,-95.2772
38,Luis Muñoz Marín International Airport,SJU,PR,18.4367,-66.0047
39,Louis Armstrong New Orleans International Airport,MSY,LA,29.9933,-90.2590275
40,Kansas City International Airport,MCI,MO,39.2976,-94.7139
41,John Wayne Airport,SNA,CA,33.67566,-117.86823
42,Southwest Florida International Airport,RSW,FL,26.53616,-81.75516
43,Norman Y. Mineta San José International Airport,SJC,CA,37.363949,-121.92894
44,San Antonio International Airport,SAT,TX,29.534,-98.4691
45,Indianapolis International Airport,IND,IN,39.7173,-86.2946
46,Cleveland Hopkins International Airport,CLE,OH,41.4094,-81.8547
47,Pittsburgh International Airport,PIT,PA,40.4914,-80.2327
48,Oakland San Francisco Bay Airport,OAK,CA,37.7213,-122.2212
49,John Glenn Columbus International Airport,CMH,OH,39.998,-82.892
50,Cincinnati/Northern Kentucky International Airport,CVG,KY,39.053,-84.663017
51,Jacksonville International Airport,JAX,FL,30.494,-81.6878
52,Ontario International Airport,ONT,CA,34.056,-117.601
53,Kahului Airport,OGG,HI,20.8986,-156.4305
54,Bradley International Airport,BDL,CT,41.93903,-72.68432
55,Hollywood Burbank Airport,BUR,CA,34.20069,-118.35867
56,Charleston International Airport,CHS,SC,32.8986,-80.0405
57,Milwaukee Mitchell International Airport,MKE,WI,42.9472,-87.8967
58,Ted Stevens Anchorage International Airport,ANC,AK,61.1741,-149.9981
59,Boise Airport,BOI,ID,43.5644,-116.2228
60,Eppley Airfield,OMA,NE,41.30317,-95.89406
61,Albuquerque International Sunport,ABQ,NM,35.0389,-106.6083
62,Buffalo Niagara International Airport,BUF,NY,42.9404,-78.7306
