AIRPORT_SEQ_ID,AIRPORT_ID,AIRPORT,DISPLAY_AIRPORT_NAME,DISPLAY_AIRPORT_CITY_NAME_FULL,AIRPORT_WAC,AIRPORT_COUNTRY_NAME,AIRPORT_COUNTRY_CODE_ISO,AIRPORT_STATE_NAME,AIRPORT_STATE_CODE,AIRPORT_STATE_FIPS,CITY_MARKET_ID,DISPLAY_CITY_MARKET_NAME_FULL,CITY_MARKET_WAC,LAT_DEGREES,LAT_HEMISPHERE,LAT_MINUTES,LAT_SECONDS,LATITUDE,LON_DEGREES,LON_HEMISPHERE,LON_MINUTES,LON_SECONDS,LONGITUDE,AIRPORT_START_DATE,AIRPORT_THRU_DATE,AIRPORT_IS_CLOSED,AIRPORT_IS_LATEST
1000101,10001,01A,Afognak Lake Airport,"Afognak Lake, AK",1,United States,US,Alaska,AK,2.0,30001,"Afognak Lake, AK",1,58.0,N,6.0,34.0,58.10944444,152.0,W,54.0,24.0,-152.90666667,7/1/2007 12:00:00 AM,,0,1
1000301,10003,03A,Bear Creek Mining Strip,"Granite Mountain, AK",1,United States,US,Alaska,AK,2.0,30003,"Granite Mountain, AK",1,65.0,N,32.0,53.0,65.54805556,161.0,W,4.0,18.0,-161.07166667,7/1/2007 12:00:00 AM,,0,1
1000401,10004,04A,Lik Mining Camp,"Lik, AK",1,United States,US,Alaska,AK,2.0,30004,"Lik, AK",1,68.0,N,5.0,0.0,68.08333333,163.0,W,10.0,0.0,-163.16666667,7/1/2007 12:00:00 AM,,0,1
1000501,10005,05A,Little Squaw Airport,"Little Squaw, AK",1,United States,US,Alaska,AK,2.0,30005,"Little Squaw, AK",1,67.0,N,34.0,12.0,67.57,148.0,W,11.0,2.0,-148.18388889,8/1/2007 12:00:00 AM,,0,1
1000601,10006,06A,Kizhuyak Bay,"Kizhuyak, AK",1,United States,US,Alaska,AK,2.0,30006,"Kizhuyak, AK",1,57.0,N,44.0,43.0,57.74527778,152.0,W,52.0,58.0,-152.88277778,10/1/2007 12:00:00 AM,,0,1
1000701,10007,07A,Klawock Seaplane Base,"Klawock, AK",1,United States,US,Alaska,AK,2.0,30007,"Klawock, AK",1,55.0,N,33.0,17.0,55.55472222,133.0,W,6.0,6.0,-133.10166667,4/1/2008 12:00:00 AM,,0,1
1000801,10008,08A,Elizabeth Island Airport,"Elizabeth Island, AK",1,United States,US,Alaska,AK,2.0,30008,"Elizabeth Island, AK",1,59.0,N,9.0,25.0,59.15694444,151.0,W,49.0,45.0,-151.82916667,6/1/2008 12:00:00 AM,,0,1
1000901,10009,09A,Augustin Island,"Homer, AK",1,United States,US,Alaska,AK,2.0,30009,"Homer, AK",1,59.0,N,21.0,46.0,59.36277778,153.0,W,25.0,50.0,-153.43055556,6/1/2008 12:00:00 AM,,0,1
1001001,10010,1B1,Columbia County,"Hudson, NY",22,United States,US,New York,NY,36.0,30010,"Hudson, NY",22,42.0,N,17.0,20.0,42.28888889,73.0,W,42.0,37.0,-73.71027778,4/1/2009 12:00:00 AM,6/30/2011 12:00:00 AM,0,0
1001101,10011,1G4,Grand Canyon West,"Peach Springs, AZ",81,United States,US,Arizona,AZ,4.0,30011,"Peach Springs, AZ",81,35.0,N,59.0,25.0,35.99027778,113.0,W,48.0,59.0,-113.81638889,7/1/2008 12:00:00 AM,9/30/2011 12:00:00 AM,0,0
